,index,id,score,len,label
376,7,17.1,1.0876225827227581,11,0
377,8,1.1,0.9066353436424206,4,1
378,8,1.2,1.1113876476327427,6,1
379,8,1.3,1.1176675856752492,10,1
380,8,1.4,1.1340309695688053,3,1
381,8,1.5,1.1578352086726036,4,1
382,8,1.6,0.7988340410154119,13,1
383,8,1.7,1.0863619611322797,3,1
384,8,1.8,0.9789008003549663,11,0
385,8,1.9,1.071469260864387,4,1
386,8,1.10,0.9510846029233828,3,1
387,8,1.11,1.1679556487344276,3,1
388,8,1.12,1.1464383759540542,3,1
389,8,1.13,1.0268001641453384,5,1
390,8,1.14,1.1236644512636762,5,0
391,8,1.15,1.0294302579613512,7,1
392,8,1.25,0.6236832180994787,4,0
393,8,1.26,0.6960448843876472,12,1
394,8,1.27,1.079004712584501,19,1
395,8,1.28,0.7369300209476098,4,1
396,8,1.29,0.6798718724859126,9,1
397,8,1.31,1.081211565671047,4,1
398,8,1.32,0.7355605694632028,7,1
399,8,1.33,0.7369338422004561,6,1
400,8,1.34,1.0975716689370603,3,0
401,8,1.35,1.1167640761205688,11,0
402,8,1.36,1.1375342296695874,10,0
403,8,1.37,1.0458084364652402,5,0
404,8,2.1,1.0980596952129469,2,0
405,8,2.2,0.7956088549211048,5,1
406,8,2.3,0.7355662473639569,1,0
407,8,2.4,1.137539632506349,13,0
408,8,2.5,1.0458136672293221,12,0
409,8,2.6,1.098064827346442,8,0
410,8,2.7,0.9235978613803029,10,0
411,8,2.8,1.0929917044900517,8,0
412,8,2.9,1.1744413207583855,4,0
413,8,2.10,1.046703044111502,11,0
414,8,2.11,1.160387991075885,7,0
415,8,3.1,1.1366125390946067,6,0
416,8,3.2,0.995334020227986,15,0
417,8,3.3,1.1963871198542795,12,0
418,8,3.4,1.1103921635312337,6,0
419,8,3.5,0.9886740541063248,3,0
420,8,3.6,0.9831659639770511,7,0
421,8,3.7,0.919036196370515,9,0
422,8,4.1,1.1324855701709986,14,1
423,8,4.2,0.9472558062638539,14,1
424,8,4.3,1.0581746204358655,8,0
425,8,4.4,1.0753692584434131,4,1
426,8,4.6,0.6469156122041813,5,1
427,8,4.7,0.6633319915107656,10,1
428,8,4.8,1.092930288449173,21,1
429,8,4.10,1.1076681544928286,8,1
430,8,4.11,1.0075817569130925,11,1
431,8,5.1,1.0390272563826368,4,0
432,8,6.1,1.130971231156046,4,0
433,8,6.3,0.9800028920210166,5,1
434,8,7.1,1.1495829557320356,4,0
435,8,8.2,1.0373857412274625,5,0
436,8,8.3,0.8859175660661495,5,0
437,8,8.4,0.918778017475857,18,0
438,8,8.5,0.8983094982196419,3,1
439,8,8.6,0.9588827854861337,16,1
440,8,8.7,0.8339051108403157,5,1
441,8,9.1,1.0597091514243293,5,1
442,9,1.1,0.734382790531564,13,0
443,9,1.2,1.0260824433267928,13,0
444,9,1.3,1.1219106117988944,18,1
445,9,1.4,1.0340388249573387,12,1
446,9,1.5,1.012383233814941,23,1
447,9,1.6,1.0911725119183546,17,0
448,9,2.1,0.7298869281300646,4,0
449,9,3.1,1.0285153124433863,8,0
450,9,3.2,0.8440148577419354,17,0
451,9,3.3,0.9094968980481685,10,0
452,9,3.4,0.9664268336968015,28,1
453,9,4.1,0.9911754531517055,10,0
454,9,5.1,1.050888982021175,10,1
455,9,5.3,0.8680046239921304,1,1
456,10,1.1,0.8550959195587955,3,1
457,10,1.2,0.8251330068657846,8,1
458,10,1.3,1.0194668092729882,5,0
459,10,1.4,1.0318559361022048,5,1
460,10,1.5,1.0695954907872127,3,1
461,10,1.6,1.0583705239288326,7,1
462,10,1.7,1.0434064527872975,12,1
463,10,1.8,1.0750795917200864,6,1
464,10,2.1,1.060482500268815,2,1
465,10,2.2,0.9785229249488052,7,0
466,10,3.1,1.068584840977378,11,0
467,10,3.2,1.0812977014832592,4,0
